email,password,type,status,role,token
activeMember1@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIxIiwiaXNzIjoiaS1jb21tZXJjZSIsInByaW5jaXBhbFR5cGUiOiJNRU1CRVIiLCJhY2NvdW50SWQiOjEsInJvbGUiOiJDVVNUT01FUiIsImFjY291bnRTdGF0dXMiOiJBQ1RJVkUiLCJpYXQiOjE3ODE0ODY0OTAsImV4cCI6NDkzNTA4NjQ5MH0.EzoblIwGJ6_bVhFAoCd76mDY0hKm0w8QPG2ZKv1QEVU
activeMember2@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIyIiwiaXNzIjoiaS1jb21tZXJjZSIsInByaW5jaXBhbFR5cGUiOiJNRU1CRVIiLCJhY2NvdW50SWQiOjIsInJvbGUiOiJDVVNUT01FUiIsImFjY291bnRTdGF0dXMiOiJBQ1RJVkUiLCJpYXQiOjE3ODE0ODY0OTAsImV4cCI6NDkzNTA4NjQ5MH0.rEu9IHZwQVEpuQjudPqtjoVcTQhimJaiR7b6DOtlAsc
activeMember3@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIzIiwiaXNzIjoiaS1jb21tZXJjZSIsInByaW5jaXBhbFR5cGUiOiJNRU1CRVIiLCJhY2NvdW50SWQiOjMsInJvbGUiOiJDVVNUT01FUiIsImFjY291bnRTdGF0dXMiOiJBQ1RJVkUiLCJpYXQiOjE3ODE0ODY0OTAsImV4cCI6NDkzNTA4NjQ5MH0._GpQpzAIMDKx-j0_OzIv6ZXnU4tsJDUbDJwmrXrmZdk
activeMember4@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiI0IiwiaXNzIjoiaS1jb21tZXJjZSIsInByaW5jaXBhbFR5cGUiOiJNRU1CRVIiLCJhY2NvdW50SWQiOjQsInJvbGUiOiJDVVNUT01FUiIsImFjY291bnRTdGF0dXMiOiJBQ1RJVkUiLCJpYXQiOjE3ODE0ODY0OTEsImV4cCI6NDkzNTA4NjQ5MX0.uvWkl4h-s-AHfpOHnEg4uyYDQADM3XXq0JP5lVNulmk
activeMember5@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiI1IiwiaXNzIjoiaS1jb21tZXJjZSIsInByaW5jaXBhbFR5cGUiOiJNRU1CRVIiLCJhY2NvdW50SWQiOjUsInJvbGUiOiJDVVNUT01FUiIsImFjY291bnRTdGF0dXMiOiJBQ1RJVkUiLCJpYXQiOjE3ODE0ODY0OTEsImV4cCI6NDkzNTA4NjQ5MX0.W29DeEv0VVRmUMPMQB1lCxRVPx3mb5s88IKAjvXEgAA
activeMember6@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiI2IiwiaXNzIjoiaS1jb21tZXJjZSIsInByaW5jaXBhbFR5cGUiOiJNRU1CRVIiLCJhY2NvdW50SWQiOjYsInJvbGUiOiJDVVNUT01FUiIsImFjY291bnRTdGF0dXMiOiJBQ1RJVkUiLCJpYXQiOjE3ODE0ODY0OTEsImV4cCI6NDkzNTA4NjQ5MX0.e13yIYCR81K_QeumPYBDJTP_ZXHH-EG2xjolKR9S-JI
activeMember7@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiI3IiwiaXNzIjoiaS1jb21tZXJjZSIsInByaW5jaXBhbFR5cGUiOiJNRU1CRVIiLCJhY2NvdW50SWQiOjcsInJvbGUiOiJDVVNUT01FUiIsImFjY291bnRTdGF0dXMiOiJBQ1RJVkUiLCJpYXQiOjE3ODE0ODY0OTEsImV4cCI6NDkzNTA4NjQ5MX0.uCF612KL9SlfilcFJBFxobadlFgOah_V814No8c062M
activeMember8@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiI4IiwiaXNzIjoiaS1jb21tZXJjZSIsInByaW5jaXBhbFR5cGUiOiJNRU1CRVIiLCJhY2NvdW50SWQiOjgsInJvbGUiOiJDVVNUT01FUiIsImFjY291bnRTdGF0dXMiOiJBQ1RJVkUiLCJpYXQiOjE3ODE0ODY0OTEsImV4cCI6NDkzNTA4NjQ5MX0.XzY9i1MOuwan-GMAJFuoVn80euE0vroc1kkd-fpxCGA
activeMember9@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiI5IiwiaXNzIjoiaS1jb21tZXJjZSIsInByaW5jaXBhbFR5cGUiOiJNRU1CRVIiLCJhY2NvdW50SWQiOjksInJvbGUiOiJDVVNUT01FUiIsImFjY291bnRTdGF0dXMiOiJBQ1RJVkUiLCJpYXQiOjE3ODE0ODY0OTEsImV4cCI6NDkzNTA4NjQ5MX0.wf6ykRGndgu7NIp8h7rtyCTeJgbOF5fXVcI7U9YIP4k
activeMember10@test.com,password123!,MEMBER,ACTIVE,CUSTOMER,eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIxMCIsImlzcyI6ImktY29tbWVyY2UiLCJwcmluY2lwYWxUeXBlIjoiTUVNQkVSIiwiYWNjb3VudElkIjoxMCwicm9sZSI6IkNVU1RPTUVSIiwiYWNjb3VudFN0YXR1cyI6IkFDVElWRSIsImlhdCI6MTc4MTQ4NjQ5MSwiZXhwIjo0OTM1MDg2NDkxfQ.C58w9hnaMR7A5jHuF5AC7IeGWb9nwjVPVd-CmC-pOHU
